text,label,language,category
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"You have been listed as a guarantor for an unpaid loan on NairaCash. If the debtor does not pay by 3 PM, we will notify your employer and family that you are harboring a thief.",1,English,Loan Shark Threat
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
URGENT: Your FCMB ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
"You have been listed as a guarantor for an unpaid loan on NairaCash. If the debtor does not pay by 3 PM, we will notify your employer and family that you are harboring a thief.",1,English,Loan Shark Threat
Biko ezigbela onye ọ bụla nọmba OTP ma ọ bụ PIN gị. Ndị banki agaghị ajụ gị ụdị ihe a. Kpachara anya gị.,0,Igbo,Customer Support
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
Congrats my friend! You don win 200k from Zenith Bank anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
"You have been listed as a guarantor for an unpaid loan on NairaCash. If the debtor does not pay by 3 PM, we will notify your employer and family that you are harboring a thief.",1,English,Loan Shark Threat
"Credit Alert: Acc: 001***3948 Amt: NGN 150,000.00 Desc: Inflow from Akinsola Chioma / Salary Bal: NGN 420,350.50",0,English,Genuine Banking
"Dear Customer, your Stanbic IBTC account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - GTBank Security",0,English,Customer Support
Omo your Opay account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
Congrats my friend! You don win 200k from Palmpay anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
Ego a zitere gị site na UBA agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Access Bank.",0,English,Genuine Banking
"Dear Customer, your FCMB account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
"Alereti ebatala! Ego NGN 40,000 agafeela n'akaunti mi nke Zenith Bank. Chukwu gozie gị nwanna.",0,Igbo,Genuine Banking
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
"You have been listed as a guarantor for an unpaid loan on NairaCash. If the debtor does not pay by 3 PM, we will notify your employer and family that you are harboring a thief.",1,English,Loan Shark Threat
"Barka da asuba! Lambar wayarka ta ci NGN 150,000 a shirin agaji na musamman. Aiko da BVN dinka da lambar asusu don karbar kudinka.",1,Hausa,Fake Alert / Lottery
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
"Alereti ebatala! Ego NGN 40,000 agafeela n'akaunti mi nke First Bank. Chukwu gozie gị nwanna.",0,Igbo,Genuine Banking
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
Sanarwa: asusunka na Wema Bank ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
"Credit Alert: Acc: 001***3948 Amt: NGN 150,000.00 Desc: Inflow from Akinsola Chioma / Salary Bal: NGN 420,350.50",0,English,Genuine Banking
Abeg I don send the urgent 2k to your First Bank account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
"An tura kudi NGN 50,000 zuwa asusunka na Jaiz Bank cikin nasara. Nagode da kasuwanci, Allah ya kara budi.",0,Hausa,Genuine Banking
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
URGENT: Your Palmpay ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
"Kai barawo ne! Ka ci bashin NGN 20,000 a XpressLoan kuma baka biya ba. Idan baka biya ba zuwa karfe hudu, zamu fadawa kowa a gidanku cewa kai barawo ne.",1,Hausa,Loan Shark Threat
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
Biko ezigbela onye ọ bụla nọmba OTP ma ọ bụ PIN gị. Ndị banki agaghị ajụ gị ụdị ihe a. Kpachara anya gị.,0,Igbo,Customer Support
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
Omo your Palmpay account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
Congrats my friend! You don win 200k from Stanbic IBTC anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - Access Bank Security",0,English,Customer Support
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
Omo your GTBank account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni Wema Bank.",0,Yoruba,Genuine Banking
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na Wema Bank. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
"Dear Customer, your Zenith Bank account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
"Dear Customer, your Moniepoint account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
"Barka da asuba! Lambar wayarka ta ci NGN 150,000 a shirin agaji na musamman. Aiko da BVN dinka da lambar asusu don karbar kudinka.",1,Hausa,Fake Alert / Lottery
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni Opay.",0,Yoruba,Genuine Banking
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
"Barka da asuba! Lambar wayarka ta ci NGN 150,000 a shirin agaji na musamman. Aiko da BVN dinka da lambar asusu don karbar kudinka.",1,Hausa,Fake Alert / Lottery
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Wema Bank.",0,English,Genuine Banking
"Ndeewo, akaunti gị na Opay enweela nsogbu n'ihi BVN agwụla. Pịa ebe a http://zenith-bvn-update.com ka ịmezie ya ngwa ngwa ma ọ bụ ha eji ego gị.",1,Igbo,Phishing
"Kai barawo ne! Ka ci bashin NGN 20,000 a XpressLoan kuma baka biya ba. Idan baka biya ba zuwa karfe hudu, zamu fadawa kowa a gidanku cewa kai barawo ne.",1,Hausa,Loan Shark Threat
Sanarwa: asusunka na UBA ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
"Dear Customer, your UBA account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
Congrats my friend! You don win 200k from Wema Bank anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
URGENT: Your FCMB ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni Access Bank.",0,Yoruba,Genuine Banking
"Credit Alert: Acc: 001***3948 Amt: NGN 150,000.00 Desc: Inflow from Akinsola Ibrahim / Salary Bal: NGN 420,350.50",0,English,Genuine Banking
Ego a zitere gị site na Moniepoint agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Palmpay.",0,English,Genuine Banking
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
Sanarwa: asusunka na Access Bank ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
Ego a zitere gị site na First Bank agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
Congrats my friend! You don win 200k from FCMB anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na Stanbic IBTC. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
Congrats my friend! You don win 200k from UBA anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na Stanbic IBTC. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
URGENT: Your Palmpay ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni FCMB.",0,Yoruba,Genuine Banking
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na GTBank. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
"An tura kudi NGN 50,000 zuwa asusunka na Jaiz Bank cikin nasara. Nagode da kasuwanci, Allah ya kara budi.",0,Hausa,Genuine Banking
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
"Ndeewo, akaunti gị na UBA enweela nsogbu n'ihi BVN agwụla. Pịa ebe a http://zenith-bvn-update.com ka ịmezie ya ngwa ngwa ma ọ bụ ha eji ego gị.",1,Igbo,Phishing
Omo your Zenith Bank account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na Zenith Bank. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
"Kai barawo ne! Ka ci bashin NGN 20,000 a XpressLoan kuma baka biya ba. Idan baka biya ba zuwa karfe hudu, zamu fadawa kowa a gidanku cewa kai barawo ne.",1,Hausa,Loan Shark Threat
URGENT: Your Opay ATM card has been blocked. Please call customer care on 08012345678 or visit http://accessbank-update.info to unblock.,1,English,Phishing
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
"Ndeewo, akaunti gị na Palmpay enweela nsogbu n'ihi BVN agwụla. Pịa ebe a http://zenith-bvn-update.com ka ịmezie ya ngwa ngwa ma ọ bụ ha eji ego gị.",1,Igbo,Phishing
Sanarwa: asusunka na FCMB ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
Ego a zitere gị site na FCMB agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
"Iwo olori buruku, o gba owo lowo EasyLoan o kọ lati san. Ti o ba sanwo di agogo meji, a maa firanṣẹ si gbogbo mọlẹbi rẹ wipe o jẹ ole.",1,Yoruba,Loan Shark Threat
"Credit Alert: Acc: 001***3948 Amt: NGN 150,000.00 Desc: Inflow from Akinsola Chioma / Salary Bal: NGN 420,350.50",0,English,Genuine Banking
"You have been listed as a guarantor for an unpaid loan on NairaCash. If the debtor does not pay by 3 PM, we will notify your employer and family that you are harboring a thief.",1,English,Loan Shark Threat
"You have been listed as a guarantor for an unpaid loan on NairaCash. If the debtor does not pay by 3 PM, we will notify your employer and family that you are harboring a thief.",1,English,Loan Shark Threat
Abeg I don send the urgent 2k to your FCMB account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
Abeg I don send the urgent 2k to your Access Bank account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni Moniepoint.",0,Yoruba,Genuine Banking
"Alereti ebatala! Ego NGN 40,000 agafeela n'akaunti mi nke Access Bank. Chukwu gozie gị nwanna.",0,Igbo,Genuine Banking
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni GTBank.",0,Yoruba,Genuine Banking
Bros the alert don drop! 50k clear money inside my Stanbic IBTC account. God bless you plenty bro.,0,Pidgin,Genuine Banking
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - FCMB Security",0,English,Customer Support
Congrats my friend! You don win 200k from Palmpay anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
"Credit Alert: Acc: 001***3948 Amt: NGN 150,000.00 Desc: Inflow from Akinsola Ngozi / Salary Bal: NGN 420,350.50",0,English,Genuine Banking
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
Sanarwa: asusunka na GTBank ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni Palmpay. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
Ego a zitere gị site na Palmpay agafeela nke ọma. Ndeewo maka ịzụ ahịa. Anyị ga-ahụ ma emechaa.,0,Igbo,Genuine Banking
Abeg I don send the urgent 2k to your GTBank account. Make you check am now now before network start to misbehave.,0,Pidgin,Genuine Banking
Omo your FCMB account don enter hold balance because of BVN linkage. Make you click dis link http://opay-bvn-ng.xyz right now make dem no chop your money.,1,Pidgin,Phishing
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
"Credit Alert: Acc: 001***3948 Amt: NGN 150,000.00 Desc: Inflow from Akinsola Emmanuel / Salary Bal: NGN 420,350.50",0,English,Genuine Banking
"An tura kudi NGN 50,000 zuwa asusunka na Jaiz Bank cikin nasara. Nagode da kasuwanci, Allah ya kara budi.",0,Hausa,Genuine Banking
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
Sanarwa: asusunka na Moniepoint ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
Biko ezigbela onye ọ bụla nọmba OTP ma ọ bụ PIN gị. Ndị banki agaghị ajụ gị ụdị ihe a. Kpachara anya gị.,0,Igbo,Customer Support
"Dear Customer, your transfer of NGN 25,000.00 to account 012***4859 was successful. Thank you for choosing Wema Bank.",0,English,Genuine Banking
"Debit Alert: Acc: 014***2210 Amt: NGN 5,000.00 Desc: AIRTIME/MTN/08034445555 Bal: NGN 18,450.20",0,English,Genuine Banking
"You have been listed as a guarantor for an unpaid loan on NairaCash. If the debtor does not pay by 3 PM, we will notify your employer and family that you are harboring a thief.",1,English,Loan Shark Threat
"Wetin be dis? You borrow 15k from QuickLoan app and you refuse to pay. If you no pay by 4pm today, we go publish your picture as thief to all your contacts.",1,Pidgin,Loan Shark Threat
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
"Owo ti o firanṣẹ si akọọlẹ mi ti wọle o. Mo ti ri alert NGN 30,000 ni Stanbic IBTC.",0,Yoruba,Genuine Banking
Biko ezigbela onye ọ bụla nọmba OTP ma ọ bụ PIN gị. Ndị banki agaghị ajụ gị ụdị ihe a. Kpachara anya gị.,0,Igbo,Customer Support
"Dear Customer, your Wema Bank account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
Sanarwa: asusunka na FCMB ya shiga matsala saboda BVN ba a sabunta ba. Danna nan http://uba-update-service.xyz don gyarawa ko a rufe asusunka na dindindin.,1,Hausa,Phishing
Biko ezigbela onye ọ bụla nọmba OTP ma ọ bụ PIN gị. Ndị banki agaghị ajụ gị ụdị ihe a. Kpachara anya gị.,0,Igbo,Customer Support
"Dear Customer, your FCMB account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
"Dear Customer, your First Bank account has been restricted due to incomplete BVN update. Click http://gtb-update-ng.com to verify immediately.",1,English,Phishing
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
"We will never ask you for your PIN, OTP, or full ATM card number. Protect your banking credentials at all times. - Palmpay Security",0,English,Customer Support
Biko ezigbela onye ọ bụla nọmba OTP ma ọ bụ PIN gị. Ndị banki agaghị ajụ gị ụdị ihe a. Kpachara anya gị.,0,Igbo,Customer Support
"Kai barawo ne! Ka ci bashin NGN 20,000 a XpressLoan kuma baka biya ba. Idan baka biya ba zuwa karfe hudu, zamu fadawa kowa a gidanku cewa kai barawo ne.",1,Hausa,Loan Shark Threat
A ti sanwo ile iwe fun omo re. E dupe lowo Olorun. Oja tita ti wọle sinu akọọlẹ mi ni Stanbic IBTC.,0,Yoruba,Genuine Banking
"Alereti ebatala! Ego NGN 40,000 agafeela n'akaunti mi nke GTBank. Chukwu gozie gị nwanna.",0,Igbo,Genuine Banking
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na Opay. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
"An tura kudi NGN 50,000 zuwa asusunka na Jaiz Bank cikin nasara. Nagode da kasuwanci, Allah ya kara budi.",0,Hausa,Genuine Banking
"An tura kudi NGN 50,000 zuwa asusunka na Jaiz Bank cikin nasara. Nagode da kasuwanci, Allah ya kara budi.",0,Hausa,Genuine Banking
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni Zenith Bank. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
"Barka da asuba! Lambar wayarka ta ci NGN 150,000 a shirin agaji na musamman. Aiko da BVN dinka da lambar asusu don karbar kudinka.",1,Hausa,Fake Alert / Lottery
"I zuru ohi! I gbaziri ego na SpeedCash weghachighị ya. Ọ bụrụ na ị kwụghị ụgwọ tupu elekere atọ, anyị ga-egosi ndị ezi-na-ụlọ gị na ị bụ onye ohi.",1,Igbo,Loan Shark Threat
Banki rẹ ko ni beere fun OTP tabi PIN rẹ lae. Ẹ jọwọ ẹ ṣọra fun awọn gbajue o.,0,Yoruba,Customer Support
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na FCMB. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
"Congratulations! Your mobile number has won NGN 500,000 in the CBN 2024 Empowerment Promo. Send your BVN and account details to claim your cash.",1,English,Fake Alert / Lottery
Congrats my friend! You don win 200k from Zenith Bank anniversary promo. Just send your OTP make we credit your wallet straight up.,1,Pidgin,Fake Alert / Lottery
Kada ka taba bayyana lambar sirri (OTP ko PIN) ga kowa. Bankinka ba zai taba tambayarka wannan ba. Ka kiyaye daga damfara.,0,Hausa,Customer Support
"Ekele! Nọmba gị emeriela NGN 250,000 na promo Dangote. Zite BVN gị na nọmba akaunti gị ngwa ngwa ka ị nweta ego gị.",1,Igbo,Fake Alert / Lottery
Biko ezigbela onye ọ bụla nọmba OTP ma ọ bụ PIN gị. Ndị banki agaghị ajụ gị ụdị ihe a. Kpachara anya gị.,0,Igbo,Customer Support
"Naira dubu ashirin (NGN 20,000) ta shigo asusuna na Access Bank. Mun gode sosai, Allah ya mayar da alheri.",0,Hausa,Genuine Banking
"E ku ori ire! Nọmba foonu rẹ ti jẹ NGN 100,000 ninu eto ijọba. Tẹ BVN rẹ ati nọmba akọọlẹ banki rẹ lati gba owo naa.",1,Yoruba,Fake Alert / Lottery
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
No fall for scam o! Bank no go ever call you make you call out your OTP or ATM PIN. Open your eye my people.,0,Pidgin,Customer Support
Iro ni won pa! Iwe iroyin lati EFCC wipe a ti block account re ni First Bank. Pe nọmba yii 08031234567 lati ṣii bayi ki owo re ma baa sọnu.,1,Yoruba,Phishing
